,W,bol_total,W_pca_norm,diff
0,0.2556640869329607,6,0.5239503700185729,-0.2682862830856122
1,0.3668450374529954,9,0.6259205184332857,-0.25907548098029026
2,0.045624457515834264,7,0.3457379415898476,-0.30011348407401334
3,0.14185287559566576,4,0.42910109436060095,-0.2872482187649352
4,0.030671925075631146,8,0.32713094594588826,-0.2964590208702571
5,0.045624457515834264,3,0.3457379415898476,-0.30011348407401334
6,0.030671925075631146,4,0.32713094594588826,-0.2964590208702571
7,0.030671925075631146,9,0.32713094594588826,-0.2964590208702571
8,0.38503284261675774,9,0.5697949160107296,-0.18476207339397188
9,0.23659527613381423,7,0.43948339413752624,-0.202888118003712
10,0.08427923402365088,7,0.4137555257368261,-0.3294762917131752
11,0.12953060397272306,3,0.4033732259599008,-0.2738426219871778
12,0.4381554625627183,6,0.609509956744929,-0.17135449418221071
13,0.25864538012748667,9,0.5157256741515388,-0.25708029402405214
14,0.08427923402365088,7,0.4137555257368261,-0.3294762917131752
15,0.2974804352992935,6,0.5286090233747447,-0.23112858807545117
16,0.3623177709570358,4,0.5017773318637512,-0.13945956090671535
17,0.6744550634497618,3,0.7666143400834144,-0.09215927663365264
18,0.9850465288812776,9,0.9813928378376647,0.0036536910436129055
19,0.7215528876691654,4,0.756232040306489,-0.034679152637323685
20,0.20624544351861834,4,0.48427415933008516,-0.2780287158114668
21,0.2436928476872836,3,0.49711867850757946,-0.25342583082029585
22,0.05589841867173391,1,0.2849536858111199,-0.229055267139386
23,0.0,1,0.18287108178489705,-0.18287108178489705
24,0.4726215735368576,4,0.6305791717894573,-0.15795759825259975
25,0.5785778239874191,2,0.7644567361735233,-0.1858789121861042
26,0.8790902784307162,1,0.847515273453599,0.03157500497711718
27,0.11980277160199324,1,0.2719578809764039,-0.15215510937441065
28,0.6376467412122767,6,0.698596755936436,-0.060950014724159285
29,0.45057146954318517,1,0.5543368917754447,-0.10376542223225949
30,0.3993204073909114,4,0.5966266075217231,-0.19730620013081174
31,0.4726215735368576,6,0.6305791717894573,-0.15795759825259975
32,0.10028919306805703,3,0.35039659494601927,-0.2501074018779622
33,0.2825279028590904,5,0.5100020277307853,-0.22747412487169488
34,0.00862182108195863,4,0.2508886659318756,-0.24226684484991695
35,0.06932670158344778,4,0.39514853009286677,-0.325821828509419
36,0.6376467412122767,4,0.698596755936436,-0.060950014724159285
37,0.2825279028590904,5,0.5100020277307853,-0.22747412487169488
38,0.4981790862880033,9,0.6728688875357358,-0.17468980124773253
39,0.00862182108195863,3,0.2508886659318756,-0.24226684484991695
40,0.25864538012748667,5,0.5157256741515388,-0.25708029402405214
41,0.377270303397239,5,0.5203843275077106,-0.14311402411047158
